Branch;Employee name;End node ID;End node level;Hide previous levels;Is excessive span;Is manager?;Manager name;Org Name;Path;Start node ID;Start node level;Team;Curve;Curve (demo);Headcount;Number of reports;P1;P1 (Alt);P1 (param);P2;P2 (Alt);P2 (param);Sigmoid Function;Sigmoid Function (demo);T;T2;Top line direct reports
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;27,5524491;14,55459972;1;;15;29;29;13;22,5;22,5;0,222700139;0,222700139;-1,25;22,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;27,25188076;14,46211716;1;;15;29;29;13;22,5;22,5;0,268941421;0,268941421;-1;23;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;26,91466155;14,3583574;1;;15;29;29;13;22,5;22,5;0,320821301;0,320821301;-0,75;23,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;26,54598565;14,24491866;1;;15;29;29;13;22,5;22,5;0,377540669;0,377540669;-0,5;23,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;26,15414726;14,124353;1;;15;29;29;13;22,5;22,5;0,437823499;0,437823499;-0,25;23,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;25,75;14;1;;15;29;29;13;22,5;22,5;0,5;0,5;0;24;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;25,34585274;13,875647;1;;15;29;29;13;22,5;22,5;0,562176501;0,562176501;0,25;24,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;24,95401435;13,75508134;1;;15;29;29;13;22,5;22,5;0,622459331;0,622459331;0,5;24,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;24,58533846;13,6416426;1;;15;29;29;13;22,5;22,5;0,679178699;0,679178699;0,75;24,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;24,24811924;13,53788284;1;;15;29;29;13;22,5;22,5;0,731058579;0,731058579;1;25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;23,9475509;13,44540028;1;;15;29;29;13;22,5;22,5;0,777299861;0,777299861;1,25;25,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;23,68576591;13,36485105;1;;15;29;29;13;22,5;22,5;0,817574476;0,817574476;1,5;25,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;23,46230679;13,2960944;1;;15;29;29;13;22,5;22,5;0,851952802;0,851952802;1,75;25,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;23,27481899;13,23840584;1;;15;29;29;13;22,5;22,5;0,880797078;0,880797078;2;26;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;23,11977152;13,19069893;1;;15;29;29;13;22,5;22,5;0,904650535;0,904650535;2,25;26,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;22,99307817;13,15171636;1;;15;29;29;13;22,5;22,5;0,92414182;0,92414182;2,5;26,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;22,89056323;13,1201733;1;;15;29;29;13;22,5;22,5;0,93991335;0,93991335;2,75;26,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;22,80826818;13,09485175;1;;15;29;29;13;22,5;22,5;0,952574127;0,952574127;3;27;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;22,74262477;13,07465378;1;;15;29;29;13;22,5;22,5;0,962673113;0,962673113;3,25;27,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;22,6905295;13,05862446;1;;15;29;29;13;22,5;22,5;0,970687769;0,970687769;3,5;27,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;22,6493529;13,04595474;1;;15;29;29;13;22,5;22,5;0,97702263;0,97702263;3,75;27,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;22,61691037;13,03597242;1;;15;29;29;13;22,5;22,5;0,98201379;0,98201379;4;28;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;22,59141358;13,02812725;1;;15;29;29;13;22,5;22,5;0,985936373;0,985936373;4,25;28,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;22,57141513;13,02197389;1;;15;29;29;13;22,5;22,5;0,989013057;0,989013057;4,5;28,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;22,55575366;13,01715497;1;;15;29;29;13;22,5;22,5;0,991422515;0,991422515;4,75;28,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;22,54350353;13,0133857;1;;15;29;29;13;22,5;22,5;0,993307149;0,993307149;5;29;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;22,53393082;13,01044025;1;;15;29;29;13;22,5;22,5;0,994779874;0,994779874;5,25;29,25;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;22,5264559;13,00814028;1;;15;29;29;13;22,5;22,5;0,995929862;0,995929862;5,5;29,5;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;22,52062244;13,00634537;1;;15;29;29;13;22,5;22,5;0,996827317;0,996827317;5,75;29,75;5
Level 3 (46) - Level 4 (40);Aaren Godwin;40;4;SHOW;;FALSE;Jacqueline Rylands;Global BI Team;-54-46-40--;46;3;Team E;22,51607205;13,00494525;1;;15;29;29;13;22,5;22,5;0,997527377;0,997527377;6;30;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,99629107;12,99629107;1;;13;22;22;11,5;20,5;20,5;0,002472623;0,002472623;-6;6;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,99524098;12,99524098;1;;13;22;22;11,5;20,5;20,5;0,003172683;0,003172683;-5,75;6,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,99389479;12,99389479;1;;13;22;22;11,5;20,5;20,5;0,004070138;0,004070138;-5,5;6,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,99216981;12,99216981;1;;13;22;22;11,5;20,5;20,5;0,005220126;0,005220126;-5,25;6,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,98996072;12,98996072;1;;13;22;22;11,5;20,5;20,5;0,006692851;0,006692851;-5;7;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,98713377;12,98713377;1;;13;22;22;11,5;20,5;20,5;0,008577485;0,008577485;-4,75;7,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,98351959;12,98351959;1;;13;22;22;11,5;20,5;20,5;0,010986943;0,010986943;-4,5;7,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,97890456;12,97890456;1;;13;22;22;11,5;20,5;20,5;0,014063627;0,014063627;-4,25;7,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,97302069;12,97302069;1;;13;22;22;11,5;20,5;20,5;0,01798621;0,01798621;-4;8;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,96553395;12,96553395;1;;13;22;22;11,5;20,5;20,5;0,02297737;0,02297737;-3,75;8,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,95603165;12,95603165;1;;13;22;22;11,5;20,5;20,5;0,029312231;0,029312231;-3,5;8,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,94400967;12,94400967;1;;13;22;22;11,5;20,5;20,5;0,037326887;0,037326887;-3,25;8,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,92886119;12,92886119;1;;13;22;22;11,5;20,5;20,5;0,047425873;0,047425873;-3;9;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,90987003;12,90987003;1;;13;22;22;11,5;20,5;20,5;0,06008665;0,06008665;-2,75;9,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,88621273;12,88621273;1;;13;22;22;11,5;20,5;20,5;0,07585818;0,07585818;-2,5;9,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,8569758;12,8569758;1;;13;22;22;11,5;20,5;20,5;0,095349465;0,095349465;-2,25;9,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,82119562;12,82119562;1;;13;22;22;11,5;20,5;20,5;0,119202922;0,119202922;-2;10;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,7779292;12,7779292;1;;13;22;22;11,5;20,5;20,5;0,148047198;0,148047198;-1,75;10,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,72636171;12,72636171;1;;13;22;22;11,5;20,5;20,5;0,182425524;0,182425524;-1,5;10,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,66594979;12,66594979;1;;13;22;22;11,5;20,5;20,5;0,222700139;0,222700139;-1,25;10,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,59658787;12,59658787;1;;13;22;22;11,5;20,5;20,5;0,268941421;0,268941421;-1;11;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,51876805;12,51876805;1;;13;22;22;11,5;20,5;20,5;0,320821301;0,320821301;-0,75;11,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,433689;12,433689;1;;13;22;22;11,5;20,5;20,5;0,377540669;0,377540669;-0,5;11,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,34326475;12,34326475;1;;13;22;22;11,5;20,5;20,5;0,437823499;0,437823499;-0,25;11,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,25;12,25;1;;13;22;22;11,5;20,5;20,5;0,5;0,5;0;12;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,15673525;12,15673525;1;;13;22;22;11,5;20,5;20,5;0,562176501;0,562176501;0,25;12,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;21,066311;12,066311;1;;13;22;22;11,5;20,5;20,5;0,622459331;0,622459331;0,5;12,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,98123195;11,98123195;1;;13;22;22;11,5;20,5;20,5;0,679178699;0,679178699;0,75;12,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,90341213;11,90341213;1;;13;22;22;11,5;20,5;20,5;0,731058579;0,731058579;1;13;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,83405021;11,83405021;1;;13;22;22;11,5;20,5;20,5;0,777299861;0,777299861;1,25;13,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,77363829;11,77363829;1;;13;22;22;11,5;20,5;20,5;0,817574476;0,817574476;1,5;13,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,7220708;11,7220708;1;;13;22;22;11,5;20,5;20,5;0,851952802;0,851952802;1,75;13,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,67880438;11,67880438;1;;13;22;22;11,5;20,5;20,5;0,880797078;0,880797078;2;14;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,6430242;11,6430242;1;;13;22;22;11,5;20,5;20,5;0,904650535;0,904650535;2,25;14,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,61378727;11,61378727;1;;13;22;22;11,5;20,5;20,5;0,92414182;0,92414182;2,5;14,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,59012998;11,59012998;1;;13;22;22;11,5;20,5;20,5;0,93991335;0,93991335;2,75;14,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,57113881;11,57113881;1;;13;22;22;11,5;20,5;20,5;0,952574127;0,952574127;3;15;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,55599033;11,55599033;1;;13;22;22;11,5;20,5;20,5;0,962673113;0,962673113;3,25;15,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,54396835;11,54396835;1;;13;22;22;11,5;20,5;20,5;0,970687769;0,970687769;3,5;15,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,53446606;11,53446606;1;;13;22;22;11,5;20,5;20,5;0,97702263;0,97702263;3,75;15,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,52697932;11,52697932;1;;13;22;22;11,5;20,5;20,5;0,98201379;0,98201379;4;16;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,52109544;11,52109544;1;;13;22;22;11,5;20,5;20,5;0,985936373;0,985936373;4,25;16,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,51648041;11,51648041;1;;13;22;22;11,5;20,5;20,5;0,989013057;0,989013057;4,5;16,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,51286623;11,51286623;1;;13;22;22;11,5;20,5;20,5;0,991422515;0,991422515;4,75;16,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,51003928;11,51003928;1;;13;22;22;11,5;20,5;20,5;0,993307149;0,993307149;5;17;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,50783019;11,50783019;1;;13;22;22;11,5;20,5;20,5;0,994779874;0,994779874;5,25;17,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,50610521;11,50610521;1;;13;22;22;11,5;20,5;20,5;0,995929862;0,995929862;5,5;17,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,50475902;11,50475902;1;;13;22;22;11,5;20,5;20,5;0,996827317;0,996827317;5,75;17,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;SHOW;;FALSE;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;20,50370894;11,50370894;1;;13;22;22;11,5;20,5;20,5;0,997527377;0,997527377;6;18;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;SHOW;;FALSE;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;13,98392795;9,996291065;1;;10;14;14;8,5;7,5;7,5;0,002472623;0,002472623;-6;18;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;SHOW;;FALSE;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;13,97937756;9,995240976;1;;10;14;14;8,5;7,5;7,5;0,003172683;0,003172683;-5,75;18,25;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;SHOW;;FALSE;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;13,97354411;9,993894793;1;;10;14;14;8,5;7,5;7,5;0,004070138;0,004070138;-5,5;18,5;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;SHOW;;FALSE;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;13,96606918;9,992169811;1;;10;14;14;8,5;7,5;7,5;0,005220126;0,005220126;-5,25;18,75;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;SHOW;;FALSE;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;13,95649647;9,989960724;1;;10;14;14;8,5;7,5;7,5;0,006692851;0,006692851;-5;19;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;SHOW;;FALSE;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;13,94424635;9,987133772;1;;10;14;14;8,5;7,5;7,5;0,008577485;0,008577485;-4,75;19,25;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;SHOW;;FALSE;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;13,92858487;9,983519586;1;;10;14;14;8,5;7,5;7,5;0,010986943;0,010986943;-4,5;19,5;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;SHOW;;FALSE;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;13,90858642;9,978904559;1;;10;14;14;8,5;7,5;7,5;0,014063627;0,014063627;-4,25;19,75;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;SHOW;;FALSE;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;13,88308964;9,973020685;1;;10;14;14;8,5;7,5;7,5;0,01798621;0,01798621;-4;20;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;SHOW;;FALSE;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;13,8506471;9,965533945;1;;10;14;14;8,5;7,5;7,5;0,02297737;0,02297737;-3,75;20,25;5
