Branch;Employee name;End node ID;End node level;Manager name;Org Name;Path;Start node ID;Start node level;Team;Number of reports;P1;P1 (Alt);P2;P2 (Alt);T;T2;Top line direct reports
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-3,75;8,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-3,5;8,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-3,25;8,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-3;9;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-2,75;9,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-2,5;9,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-2,25;9,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-2;10;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-1,75;10,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-1,5;10,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-1,25;10,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-1;11;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-0,75;11,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-0,5;11,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;-0,25;11,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;0;12;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;0,25;12,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;0,5;12,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;0,75;12,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;1;13;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;1,25;13,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;1,5;13,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;1,75;13,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;2;14;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;2,25;14,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;2,5;14,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;2,75;14,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;3;15;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;3,25;15,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;3,5;15,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;3,75;15,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;4;16;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;4,25;16,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;4,5;16,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;4,75;16,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;5;17;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;5,25;17,25;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;5,5;17,5;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;5,75;17,75;5
Level 2 (35) - Level 3 (34);Anna Treeby;34;3;Glennie Camelin;Global BI Team;-35-34---;35;2;Team D;;13;22;11,5;20,5;6;18;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-6;18;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-5,75;18,25;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-5,5;18,5;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-5,25;18,75;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-5;19;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-4,75;19,25;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-4,5;19,5;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-4,25;19,75;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-4;20;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-3,75;20,25;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-3,5;20,5;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-3,25;20,75;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-3;21;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-2,75;21,25;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-2,5;21,5;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-2,25;21,75;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-2;22;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-1,75;22,25;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-1,5;22,5;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-1,25;22,75;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-1;23;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-0,75;23,25;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-0,5;23,5;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;-0,25;23,75;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;0;24;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;0,25;24,25;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;0,5;24,5;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;0,75;24,75;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;1;25;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;1,25;25,25;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;1,5;25,5;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;1,75;25,75;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;2;26;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;2,25;26,25;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;2,5;26,5;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;2,75;26,75;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;3;27;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;3,25;27,25;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;3,5;27,5;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;3,75;27,75;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;4;28;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;4,25;28,25;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;4,5;28,5;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;4,75;28,75;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;5;29;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;5,25;29,25;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;5,5;29,5;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;5,75;29,75;5
Level 3 (21) - Level 4 (19);Arden Dunlea;19;4;Chas Phythien;Global BI Team;-25-21-19--;21;3;Team C;;10;14;8,5;7,5;6;30;5
Level 4 (2) - Level 5 (1);Arv Dudbridge;1;5;Austen Darracott;Global BI Team;-4-7-2-1-;2;4;Team A;;8;0;7;0;-6;30;5
Level 4 (2) - Level 5 (1);Arv Dudbridge;1;5;Austen Darracott;Global BI Team;-4-7-2-1-;2;4;Team A;;8;0;7;0;-5,75;30,25;5
Level 4 (2) - Level 5 (1);Arv Dudbridge;1;5;Austen Darracott;Global BI Team;-4-7-2-1-;2;4;Team A;;8;0;7;0;-5,5;30,5;5
Level 4 (2) - Level 5 (1);Arv Dudbridge;1;5;Austen Darracott;Global BI Team;-4-7-2-1-;2;4;Team A;;8;0;7;0;-5,25;30,75;5
Level 4 (2) - Level 5 (1);Arv Dudbridge;1;5;Austen Darracott;Global BI Team;-4-7-2-1-;2;4;Team A;;8;0;7;0;-5;31;5
Level 4 (2) - Level 5 (1);Arv Dudbridge;1;5;Austen Darracott;Global BI Team;-4-7-2-1-;2;4;Team A;;8;0;7;0;-4,75;31,25;5
Level 4 (2) - Level 5 (1);Arv Dudbridge;1;5;Austen Darracott;Global BI Team;-4-7-2-1-;2;4;Team A;;8;0;7;0;-4,5;31,5;5
Level 4 (2) - Level 5 (1);Arv Dudbridge;1;5;Austen Darracott;Global BI Team;-4-7-2-1-;2;4;Team A;;8;0;7;0;-4,25;31,75;5
Level 4 (2) - Level 5 (1);Arv Dudbridge;1;5;Austen Darracott;Global BI Team;-4-7-2-1-;2;4;Team A;;8;0;7;0;-4;32;5
Level 4 (2) - Level 5 (1);Arv Dudbridge;1;5;Austen Darracott;Global BI Team;-4-7-2-1-;2;4;Team A;;8;0;7;0;-3,75;32,25;5
Level 4 (2) - Level 5 (1);Arv Dudbridge;1;5;Austen Darracott;Global BI Team;-4-7-2-1-;2;4;Team A;;8;0;7;0;-3,5;32,5;5
Level 4 (2) - Level 5 (1);Arv Dudbridge;1;5;Austen Darracott;Global BI Team;-4-7-2-1-;2;4;Team A;;8;0;7;0;-3,25;32,75;5
Level 4 (2) - Level 5 (1);Arv Dudbridge;1;5;Austen Darracott;Global BI Team;-4-7-2-1-;2;4;Team A;;8;0;7;0;-3;33;5
Level 4 (2) - Level 5 (1);Arv Dudbridge;1;5;Austen Darracott;Global BI Team;-4-7-2-1-;2;4;Team A;;8;0;7;0;-2,75;33,25;5
Level 4 (2) - Level 5 (1);Arv Dudbridge;1;5;Austen Darracott;Global BI Team;-4-7-2-1-;2;4;Team A;;8;0;7;0;-2,5;33,5;5
Level 4 (2) - Level 5 (1);Arv Dudbridge;1;5;Austen Darracott;Global BI Team;-4-7-2-1-;2;4;Team A;;8;0;7;0;-2,25;33,75;5
Level 4 (2) - Level 5 (1);Arv Dudbridge;1;5;Austen Darracott;Global BI Team;-4-7-2-1-;2;4;Team A;;8;0;7;0;-2;34;5
Level 4 (2) - Level 5 (1);Arv Dudbridge;1;5;Austen Darracott;Global BI Team;-4-7-2-1-;2;4;Team A;;8;0;7;0;-1,75;34,25;5
Level 4 (2) - Level 5 (1);Arv Dudbridge;1;5;Austen Darracott;Global BI Team;-4-7-2-1-;2;4;Team A;;8;0;7;0;-1,5;34,5;5
